station_id,title,branch_name,commit,record_count,data_file_count
HQ,CareVL - HQ,main,504f70a2b8d3cf4884d14c87361f936d4fb5bcc0,0,0
TYT-VL-001,Trạm Y Tế Phường Cái Vồn,user/TRAM-Y-TE-P-CAI-VON,504f70a2b8d3cf4884d14c87361f936d4fb5bcc0,0,0
TYT-VL-002,Trạm Y Tế Phường 1,user/TRAM-Y-TE-P-1,,0,0
TYT-VL-003,Trạm Y Tế Phường 2,user/TRAM-Y-TE-P-2,,0,0
TYT-VL-004,Trạm Y Tế Phường 3,user/TRAM-Y-TE-P-3,,0,0
TYT-VL-005,Trạm Y Tế Phường 4,user/TRAM-Y-TE-P-4,,0,0
TYT-VL-006,Trạm Y Tế Phường 5,user/TRAM-Y-TE-P-5,,0,0
TYT-VL-007,Trạm Y Tế Phường 8,user/TRAM-Y-TE-P-8,,0,0
TYT-VL-008,Trạm Y Tế Phường 9,user/TRAM-Y-TE-P-9,,0,0
TYT-VL-009,Trạm Y Tế Xã Bình Minh,user/TRAM-Y-TE-X-BINH-MINH,,0,0
TYT-VL-010,Trạm Y Tế Xã Bình Phước,user/TRAM-Y-TE-X-BINH-PHUOC,,0,0
TYT-VL-011,Trạm Y Tế Xã Bình Tân,user/TRAM-Y-TE-X-BINH-TAN,,0,0
TYT-VL-012,Trạm Y Tế Xã Hòa Ninh,user/TRAM-Y-TE-X-HOA-NINH,,0,0
TYT-VL-013,Trạm Y Tế Xã Long Bình,user/TRAM-Y-TE-X-LONG-BINH,,0,0
TYT-VL-014,Trạm Y Tế Xã Thanh Bình,user/TRAM-Y-TE-X-THANH-BINH,,0,0
TYT-VL-015,Trạm Y Tế Thị Trấn Vĩnh Long,user/TRAM-Y-TE-TT-VINH-LONG,,0,0
